O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,times
8.753886055603805e-21,1.3578520534791196e-9,1.1668265403112208e-9,3.4618445505605525e-9,1.7934158681838348e-11,9.342608829777132e-21,1.3198199600390484e-10,2.2321057378820314e-15,1.9540935273621817e-14,4.061976930262577e-9,1.5907726103213128e-7,2.504144611554948e-10,3.000081566940346e-20,4.185165583305035e-20,3.0568469881090747e-16,4.239964519735781e-10,4.182842376185607e-20,1.954093394020165e-14,4.182842376185607e-20,4.182842376185607e-20,1.352407244592292e-13,2.0128798909700064e-6,1.381176491687303e-13,4.049031925708407e-20,6.5874973231118575e-9,4.1796485973104846e-20,2.104985079890584e-14,1.9896688304593477e-13,7.356466896331622e-10,-180.0
1.8700811003297526e-17,2.5530461650238445e-9,1.0750197978555008e-9,3.5391280394331454e-9,4.53759771439045e-12,1.1395889572209304e-21,7.284032553355308e-11,1.1965699101450697e-13,1.0766263162619921e-12,4.061398294101616e-9,1.5291823418543676e-7,2.748267955262758e-10,3.725342617689694e-13,1.2218719036085e-12,4.849594786773417e-13,4.597537124974401e-10,1.793897975544863e-18,3.5290241964163716e-22,1.1966336594231836e-12,3.2968945942037136e-14,3.568078031890231e-17,1.9978527962618393e-6,1.8394767893329408e-13,2.2683581828596753e-16,6.448078385070921e-9,6.906646596035006e-16,3.726006480683229e-18,6.032072602893993e-14,7.430856618982929e-10,-165.0
2.6710389294053517e-17,3.037895478153502e-9,1.0147938571689847e-9,3.567221618218157e-9,2.6242290219842132e-12,1.776366164964732e-21,3.9569966192343945e-11,1.9914341615389138e-13,1.9524985346121897e-12,4.061703686146552e-9,1.509706552004468e-7,2.7079764756331887e-10,1.0254760643615263e-12,3.4831042950428698e-12,1.192300139410782e-12,3.937042674318356e-10,2.733926456820629e-18,4.885553347889355e-22,1.832874651486626e-12,5.674640393686913e-14,2.407883662480735e-21,1.9961585151408468e-6,2.8823497635941925e-13,8.89823220797851e-16,6.593432223378226e-9,1.4053427302576135e-15,5.67237351032038e-18,9.179406473700287e-14,7.464418679169992e-10,-150.0
2.4415107982465176e-17,2.72421920875431e-9,9.445616433116099e-10,3.613796168825731e-9,1.56651525711731e-12,1.5926865116572816e-21,2.2209405874370193e-11,2.0134646787322508e-13,2.293023208064992e-12,4.059558956615882e-9,1.510414775195607e-7,2.7005488511416345e-10,1.6430169139947588e-12,5.866907998922214e-12,1.767570321165816e-12,3.5237744273812664e-10,2.851508892155948e-18,5.889041761676971e-22,2.2195589332239626e-12,7.731325862456378e-14,3.2903064186467756e-26,1.9944248136927226e-6,3.334905442972268e-13,1.982522487326005e-15,6.550904986077685e-9,2.2109226457974894e-15,6.059112786881631e-18,1.0826374877814697e-13,7.431087215150887e-10,-135.0
2.4135052778455225e-17,2.69147370370206e-9,9.440200227274805e-10,3.6550134872273615e-9,8.496753022917426e-13,1.5711304613640016e-21,1.225509025804211e-11,2.1190836680038035e-13,2.5159118186882946e-12,4.055760997616501e-9,1.5109692504833698e-7,2.7603838999233227e-10,2.3252865599052404e-12,8.509018491718685e-12,2.200855901144842e-12,4.316828015014381e-10,4.374465528628319e-18,1.0198103640188066e-21,2.3959180274804697e-12,1.0675089369418875e-13,3.633754727239567e-30,1.99612815242098e-6,3.5754654094707547e-13,3.3742921727239026e-15,6.578553837365835e-9,3.122512030245608e-15,6.457913177937424e-18,1.2010189725058745e-13,7.359816103379442e-10,-120.0
2.2891317764983473e-17,2.5221202230690267e-9,8.813744798902497e-10,3.6858698944267095e-9,5.217640792603539e-13,1.4713963569291778e-21,7.045851529452032e-12,2.0667477741207343e-13,2.697128669197825e-12,4.053532654109383e-9,1.5054360412454902e-7,2.6794355276930334e-10,2.9186218142497852e-12,1.1089989067921594e-11,2.525639599089664e-12,4.516881820868274e-10,3.815872373637326e-18,7.928436070934424e-22,2.526500387042636e-12,1.3595817838965755e-13,0.0,2.0032419400508603e-6,3.7795168604628145e-13,4.991313998137352e-15,6.663542334331156e-9,4.01318763974326e-15,6.299632396350966e-18,1.284596888823144e-13,7.356935584076753e-10,-105.0
2.1019539734448472e-17,2.2576804323704726e-9,8.574204735226415e-10,3.778803592058379e-9,3.071631837787218e-13,1.3163358797001622e-21,4.049343562715022e-12,1.9371848496779094e-13,2.684149618912656e-12,4.051451826571494e-9,1.5308506626025217e-7,2.64870445959282e-10,3.4675768551622624e-12,1.3618109435003522e-11,2.73319358153396e-12,5.009046792830709e-10,4.440643269793885e-18,1.003126756066073e-21,2.5969334533190956e-12,1.6724324710056286e-13,1.6128484784227016e-39,2.009831444071569e-6,3.7257777791279727e-13,6.603168527147023e-15,6.6160988233046875e-9,4.881897908907763e-15,5.941864124278514e-18,1.3162937749758758e-13,7.327700565602522e-10,-90.0
1.9506894234171346e-17,2.03945854493635e-9,8.862024307918027e-10,3.855938598485355e-9,1.7411752488493064e-13,1.1889046283202983e-21,2.323309978225054e-12,1.8570101559308134e-13,2.526698622228187e-12,4.051026243014087e-9,1.565457827281618e-7,2.577282778468836e-10,4.035618473246824e-12,1.6149334331963142e-11,2.773863594500373e-12,3.24659499658454e-10,2.94602657481457e-18,7.319753268412928e-22,2.6285922869626245e-12,1.8332909010501042e-13,1.0507863766063534e-44,2.0093793706972594e-6,3.5068617738727935e-13,8.04253279560537e-15,6.367431295593494e-9,5.7565425797057294e-15,5.866747175805196e-18,1.2630225191808817e-13,7.310475911922133e-10,-75.0
1.784522676202649e-17,1.7933334757388867e-9,8.962332447812573e-10,3.998058032679548e-9,1.0199906501814108e-13,1.0447553268133797e-21,1.3454632939436747e-12,1.6635604384934884e-13,2.3426973266658943e-12,4.050039038398111e-9,1.6259776149396467e-7,2.601865749682682e-10,4.537594529245067e-12,1.8504003861577488e-11,2.7542928934018012e-12,4.4630588733576573e-10,3.495359372011302e-18,7.998988932498561e-22,2.6506750705614887e-12,2.0908937352549228e-13,0.0,2.01317984882496e-6,3.152746507795672e-13,9.27332976837168e-15,6.458163510526068e-9,6.553192271287155e-15,5.671596326316273e-18,1.1893316263713054e-13,7.33529822047524e-10,-60.0
1.3223750952961666e-17,1.1344246298660582e-9,9.221418647573776e-10,4.166240083297164e-9,5.916878780825906e-14,6.587688844134068e-22,7.803996699633629e-13,1.2780786085870414e-13,1.9168798120918398e-12,4.053315218815621e-9,1.6743767552922648e-7,2.557016649996574e-10,4.924063394298303e-12,2.037427047047744e-11,2.5285497308056253e-12,5.853435156824631e-10,3.4755285462368306e-18,5.731883020252006e-22,2.666574452757476e-12,2.3620260138778155e-13,4.564659697099026e-55,2.0131345848023904e-6,2.455677694788676e-13,1.0003484403449e-14,6.611637769093814e-9,7.200769637272803e-15,4.488994916109604e-18,9.547772130235779e-14,7.346422579036423e-10,-45.0
1.1808006550206277e-17,9.330740562930946e-10,1.0401729206264852e-9,4.300049804898059e-9,2.92537805137176e-14,5.415464572510908e-22,4.5304129209430965e-13,1.0832589435752495e-13,1.4736117457571738e-12,4.04520248481864e-9,1.7210946228858768e-7,2.4612119332349233e-10,5.331290427870658e-12,2.2100049062974574e-11,2.237392580548541e-12,4.45394327946472e-10,1.3336936193135261e-18,0.0,2.6667906959746013e-12,2.4979632088386264e-13,0.0,2.019848856007396e-6,1.831921014819353e-13,1.0410494218787474e-14,6.674413293445326e-9,7.783273980561421e-15,3.8398794472929865e-18,7.95128780973221e-14,7.264793076623878e-10,-30.0
1.1353524948772458e-17,8.562009212521848e-10,1.1521925562015285e-9,4.390857803953955e-9,1.7258637804760204e-14,4.970667136169962e-22,2.690073647719055e-13,9.519865880811758e-14,1.17882095875318e-12,4.0452359704070965e-9,1.7519894613148283e-7,2.4226596756044866e-10,5.729954146168572e-12,2.3686574853490792e-11,1.920791549767025e-12,4.1153576808535087e-10,1.1059695389073505e-18,0.0,2.6714116090870826e-12,2.6271723552069865e-13,0.0,2.032324877840905e-6,1.4493441261491592e-13,1.0683177500457504e-14,6.563589809518578e-9,8.300426115278204e-15,3.3883767263430396e-18,6.415564965236435e-14,7.244797665509357e-10,-15.0
1.231334945334886e-17,9.840451110198058e-10,1.298453660049307e-9,4.398078162599665e-9,1.1286983382540472e-14,5.713713740250807e-22,1.6057200381074425e-13,9.671070432959951e-14,1.041210220873534e-12,4.046993630702448e-9,1.7806211754776972e-7,2.4145365536971285e-10,6.181926549699238e-12,2.5300430260272847e-11,1.6446153457004063e-12,4.438979677048949e-10,1.2782651810973647e-18,1.9719991535325527e-22,2.6760741488147543e-12,2.777138091156604e-13,1.0509728685408084e-66,2.028866683868776e-6,1.2759490326489717e-13,1.0909472656348012e-14,6.534760383466953e-9,8.806837759132809e-15,3.2151133235145664e-18,5.5298953199244196e-14,7.19909820865231e-10,0.0
1.442570297831985e-17,1.2964290322863877e-9,1.3933758111631904e-9,4.327992481495803e-9,8.894249599983433e-15,7.517216514813783e-22,9.950631347838906e-14,1.0903684801363618e-13,1.0245794745753984e-12,4.0414110092036755e-9,1.7538593336792983e-7,2.4205523953917316e-10,6.709956092621976e-12,2.705136566209291e-11,1.509150053994109e-12,3.9372719963397246e-10,1.4170135703691961e-18,2.1421520476891543e-22,2.6758051065982142e-12,2.9209422165372983e-13,0.0,2.0267340603562992e-6,1.3079289266709688e-13,1.1139331570924885e-14,6.309429232319772e-9,9.332916856287725e-15,3.236740470187255e-18,5.82092695153342e-14,7.165921640853981e-10,15.0
1.4850000595190755e-17,1.368329666674975e-9,1.4769410928673072e-9,4.269851749368046e-9,7.1223595842509e-15,7.931434332765119e-22,6.464384582131164e-14,1.1198565838350531e-13,9.781521609067355e-13,4.039371323272789e-9,1.769336325562261e-7,2.485551082216293e-10,7.281111355226403e-12,2.8797144064705812e-11,1.4233700060466885e-12,4.746673104749513e-10,2.149391020768836e-18,3.633484131237046e-22,2.67772035748408e-12,3.1008714955336924e-13,3.291541025330639e-74,2.0266720809543803e-6,1.258499245642503e-13,1.1356776150834744e-14,6.282613661247968e-9,9.871024361831655e-15,3.3823147454551757e-18,5.61123444756621e-14,7.154325868304054e-10,30.0
1.3593131387875723e-17,1.205988074955446e-9,1.5677089876903025e-9,4.204219437386869e-9,5.310902709679861e-15,6.989414845000695e-22,4.291772558921427e-14,1.0326056037487249e-13,8.534732939251104e-13,4.038882603590358e-9,1.781675338185037e-7,2.580266519324329e-10,7.840710914759814e-12,3.03707220728706e-11,1.2891289326123353e-12,5.277049492262963e-10,2.3438363973491624e-18,4.954947252431794e-22,2.6805558469996807e-12,3.285502261844227e-13,1.564960869224838e-78,2.02543135497201e-6,1.0968467632203064e-13,1.1524251781999091e-14,6.152813792420288e-9,1.0377734702077187e-14,3.611748904203281e-18,4.835613557681075e-14,7.141178444401727e-10,45.0
1.4805127103349067e-17,1.3853015616605157e-9,1.64587311238782e-9,4.130490749254659e-9,5.221727406885374e-15,8.0318989349484e-22,3.0882910050389106e-14,1.1131665417633645e-13,8.549906041725782e-13,4.0384606036240254e-9,1.7688395109117989e-7,2.63790213929434e-10,8.477176623988688e-12,3.207196722091896e-11,1.2114804273030187e-12,4.825042459573088e-10,2.1944180062349218e-18,3.690431398370199e-22,2.6834692590259602e-12,3.463558613426906e-13,0.0,2.0238110006007807e-6,1.1166711767516666e-13,1.1698544010866924e-14,6.043741670946943e-9,1.0911572635449467e-14,3.614382711286824e-18,4.8355882620954637e-14,7.160396831190683e-10,60.0
1.317971462635563e-17,1.1639465433146087e-9,1.5903939501483486e-9,4.1040244951844715e-9,4.3874909851974e-15,6.748333440440649e-22,2.2886081198799864e-14,9.804504988879241e-14,7.998828331703623e-13,4.038698835414315e-9,1.845906104725174e-7,2.6854453184922425e-10,8.970864864659323e-12,3.348148576203653e-11,1.133521015170004e-12,4.0224557004135913e-10,1.7403490326543123e-18,4.0495365587500953e-22,2.686880117344306e-12,3.579143687123693e-13,5.690966045106193e-88,2.022892616376499e-6,1.0262301522771387e-13,1.1845236551299586e-14,6.071127233724096e-9,1.1369271948454426e-14,3.014985713646227e-18,4.3917909821956354e-14,7.141890600935426e-10,75.0
1.5317620807411588e-17,1.4536995426799625e-9,1.5580979608625679e-9,4.125056445341357e-9,5.264212030586127e-15,8.430126533798416e-22,1.9826383973214212e-14,1.1208921994874477e-13,9.097776338361174e-13,4.039743601110723e-9,1.964965907297537e-7,2.7105174762126006e-10,9.553103330320687e-12,3.516419662808028e-11,1.1623369207479743e-12,2.776327741073664e-10,1.4236257235475573e-18,3.2418752296429925e-22,2.690937042466938e-12,3.6806878513893105e-13,0.0,2.0239553632244777e-6,1.1654974964520626e-13,1.2032505445795635e-14,6.051761120531623e-9,1.1883862985484924e-14,2.8573509787072116e-18,4.938033947098132e-14,7.158011755734993e-10,90.0
1.5430929670256894e-17,1.4589868273840859e-9,1.5666951383271952e-9,4.174713603118423e-9,5.263397390414519e-15,8.463479397812663e-22,1.8032887370307355e-14,1.1295404408325208e-13,9.236050487340606e-13,4.040842016876092e-9,2.0098235130171678e-7,2.7680027618843406e-10,1.0133675562596308e-11,3.685952411252261e-11,1.1895913517487034e-12,3.494574128070374e-10,1.7389218030059183e-18,3.962959770767366e-22,2.695140309797495e-12,3.815072560620457e-13,1.2929607850757063e-97,2.0314238022047633e-6,1.1880988396757218e-13,1.2226327372781442e-14,5.940592475981398e-9,1.2409011382772135e-14,3.6253677084270495e-18,5.059923411287059e-14,7.140441968454761e-10,105.0
1.489581724863425e-17,1.3762784327428087e-9,1.5932041992066915e-9,4.213053591389633e-9,4.910518386397257e-15,7.99035176451227e-22,1.6526886061591273e-14,1.0826016858202745e-13,8.904354579345414e-13,4.042210215268223e-9,1.9957405057999483e-7,2.8087755071195436e-10,1.0696605201432246e-11,3.8494456127004123e-11,1.186591515056717e-12,3.7341740849844657e-10,1.8171253415198687e-18,4.1667132747404185e-22,2.699650925617356e-12,3.949142423800466e-13,0.0,2.035297226106778e-6,1.1320894799560067e-13,1.2404190562368978e-14,6.104176236672039e-9,1.2921988312831287e-14,3.3643690777384964e-18,4.846541782282438e-14,7.185507723572058e-10,120.0
1.7225572107519205e-17,1.6896810232649173e-9,1.537012120224285e-9,4.265847862734951e-9,6.138821991088477e-15,9.81083917455286e-22,1.7706123513731643e-14,1.2401776519929706e-13,1.0147257999281234e-12,4.041964830977952e-9,1.9303963578615318e-7,2.8397818726130853e-10,1.1321070248094249e-11,4.0402777700392725e-11,1.2739239735393573e-12,2.537361786649298e-10,1.399663592570649e-18,3.0251941660162297e-22,2.7032698973288076e-12,4.049298856102729e-13,9.39010163686748e-108,2.0362285403794444e-6,1.3119384244040365e-13,1.2633129722338182e-14,6.168397144535546e-9,1.348685853493178e-14,3.8160001268829406e-18,5.688884858820391e-14,7.185374161492635e-10,135.0
1.959081368564062e-17,2.0101910902696395e-9,1.4487693275402991e-9,4.2768207965248546e-9,7.685479528599694e-15,1.1680222223802156e-21,2.0448080158354022e-14,1.431627280338773e-13,1.2017400830276109e-12,4.043352370620162e-9,1.885258570971725e-7,2.8834810182315886e-10,1.2000896091140504e-11,4.260519473003977e-11,1.4393571351566517e-12,3.662205926871303e-10,2.0918033915565168e-18,4.503249926707636e-22,2.7081947213220326e-12,4.2251605878836966e-13,0.0,2.0370849069420646e-6,1.590097990496939e-13,1.2952999683697748e-14,6.110890624347054e-9,1.413033636840098e-14,4.0372904618819916e-18,6.860914028882003e-14,7.164620711405132e-10,150.0
2.2427867292602413e-17,2.4160835439658904e-9,1.3263439079040575e-9,4.1854464628441305e-9,9.77431868768042e-15,1.404095402207837e-21,2.462346244828381e-14,1.6969781231321611e-13,1.5179739304407044e-12,4.043483433849269e-9,1.8384011590561388e-7,2.9369634601379564e-10,1.2731509112458357e-11,4.51192753704604e-11,1.7138107478051608e-12,2.5249963226723647e-10,1.5822246808029541e-18,2.9643902043366284e-22,2.7125296564888076e-12,4.3612383562780407e-13,8.109632229142969e-119,2.03572907261922e-6,2.0185467774547936e-13,1.3440568182890575e-14,6.328636915569663e-9,1.4870119242784778e-14,5.082793536825263e-18,8.598595843999755e-14,7.155252565588618e-10,165.0
2.4470348459168788e-17,2.7092636310815296e-9,1.1712273439407553e-9,4.097959025545386e-9,1.2071304011939293e-14,1.574375533191186e-21,2.9555878192869196e-14,1.926859560785413e-13,1.912539102351235e-12,4.044571765146867e-9,1.8242545681927018e-7,2.9696321600562826e-10,1.3440414215006267e-11,4.7863610067903024e-11,2.0712321579235702e-12,1.5576182736051728e-10,8.199651170191574e-19,1.089886764815657e-22,2.717787910692576e-12,4.454429398769777e-13,0.0,2.0367313306470475e-6,2.563654885949497e-13,1.419203517699067e-14,6.343281601410328e-9,1.5688338881150143e-14,6.002395420148048e-18,1.0625009807617477e-13,7.144798100158648e-10,180.0
2.6690008607599227e-17,3.0249456683861896e-9,1.099228266353028e-9,4.0416523410631364e-9,1.430955212707053e-14,1.7580038420778155e-21,3.4844643662505706e-14,2.1781440222935262e-13,2.3071175290896542e-12,4.0437213689838705e-9,1.812410638885851e-7,3.006202024148573e-10,1.4204193589675399e-11,5.093352056705085e-11,2.4808907066559237e-12,2.384331717465653e-10,2.0186941717092e-18,4.236039824040822e-22,2.7220716376013834e-12,4.626761056725354e-13,3.1284454828156546e-129,2.0373429882772657e-6,3.1247942519783356e-13,1.5303005848268632e-14,6.265129453120002e-9,1.661885174156529e-14,6.6931299138937316e-18,1.2789026775389067e-13,7.15656513783855e-10,195.0
3.080600157772415e-17,3.5988472120503905e-9,1.0060628078631456e-9,3.952161858797586e-9,1.8057353896458454e-14,2.0934408874245998e-21,4.2127651400963874e-14,2.574012379298459e-13,2.917580879767453e-12,4.045334702269957e-9,1.7827093896013224e-7,3.0249665870957974e-10,1.5041071683377575e-11,5.4508073925522e-11,3.0184391526418563e-12,2.3151797729402805e-10,2.0740786668724825e-18,3.7937008762702553e-22,2.7284017411314454e-12,4.816607213015737e-13,9.047815409149068e-134,2.0373219943036096e-6,3.967858189149279e-13,1.7076253121466765e-14,6.355779120092086e-9,1.7712957317688936e-14,7.633521336660661e-18,1.577786345306037e-13,7.148450597818912e-10,210.0
