O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,times
8.753937007434855e-21,1.3578599568317538e-9,1.1668333318034071e-9,3.4618647001624026e-9,1.7934263067275557e-11,9.342663208258145e-21,1.3198276420265903e-10,2.232118729811983e-15,1.9541049011272306e-14,4.062000572923786e-9,1.5907818693837185e-7,2.504159186882107e-10,3.0000990288593344e-20,4.1851899429835096e-20,3.0568647804301417e-16,4.239989198370446e-10,4.182866722341898e-20,1.9541047677844376e-14,4.182866722341898e-20,4.182866722341898e-20,1.3524151162535175e-13,2.0128916068999916e-6,1.3811845307993965e-13,4.0490554930234584e-20,6.587535665517563e-9,4.179672924877444e-20,2.104997331917109e-14,1.9896804112897868e-13,7.356509714510435e-10,-180.0
7.842331659115024e-18,5.709455887039787e-10,2.4040999321711076e-10,7.914661197802562e-10,4.5376245021224275e-12,1.139595655753361e-21,7.28407536497796e-11,6.631164518781738e-14,5.780707472482187e-13,4.061422167894889e-9,3.419757638439282e-8,2.748284110201514e-10,2.441728339942731e-13,5.99797702434266e-13,2.3521361742733006e-13,1.0281614082773186e-10,1.7939079472526916e-18,3.5290417603328476e-22,1.0944086295779085e-12,2.083905480532913e-14,3.5680990016667135e-17,4.4678598316850093e-7,1.7703274780116885e-13,1.0731558803133295e-16,1.4420036582339398e-9,3.0714927794358744e-16,3.726028306542507e-18,6.032108136050963e-14,1.6617853860446837e-10,-165.0
1.0428458745100891e-17,6.793742086228389e-10,2.2694156981589946e-10,7.977490947955275e-10,2.624245106586927e-12,3.9725440397577427e-22,3.9570200682057065e-11,9.55124044193164e-14,1.048283792338368e-12,4.061727643337843e-9,3.3762046853877254e-8,2.468054593142095e-10,7.217562320665791e-13,2.3956672363326935e-12,8.182661124433269e-13,8.804533508447995e-11,2.733939984296045e-18,4.898693450159739e-22,1.8328854860392985e-12,4.1775674777532594e-14,2.40774330336193e-21,4.464072652733533e-7,1.3744792656726734e-13,6.314400587454707e-16,1.4745101636861896e-9,1.0033567362680825e-15,2.7215567152621115e-18,4.4642410357451166e-14,1.6692916437567203e-10,-150.0
5.4600201959006825e-18,6.092250121253498e-10,2.1123518458290324e-10,8.081632490427876e-10,1.566708016455978e-12,3.561770850490579e-22,2.2211850329082955e-11,7.202885393819941e-14,1.1364328867920221e-12,4.0595826330514404e-9,3.377784040740964e-8,2.2771279575087165e-10,1.3352287325342775e-12,4.723434939512377e-12,1.212519621774896e-12,7.880318192084999e-11,2.8520124865853275e-18,5.881766321849607e-22,2.2195538674087e-12,6.289080534392859e-14,5.116525959224817e-26,4.4601896250396016e-7,1.5690374883672305e-13,1.7108787604299692e-15,1.4649977463398053e-9,1.756786519307087e-15,2.6463896668978385e-18,5.381055456451988e-14,1.6618354291023963e-10,-135.0
5.397405802095702e-18,6.019022705496828e-10,2.1111506802403587e-10,8.173783153411667e-10,8.508620064303798e-13,3.513567684995692e-22,1.227321046013369e-11,5.739263854024118e-14,1.000510290424281e-12,4.055784681059746e-9,3.379024474635447e-8,2.0955597474242716e-10,1.8168830291041109e-12,6.718224549878788e-12,1.2674758150232959e-12,9.653847998884293e-11,1.921093842771076e-18,5.470570007368639e-22,2.395845210788561e-12,7.94934268592502e-14,6.2886018146723165e-30,4.463999423992435e-7,1.2904722451874282e-13,2.942715841257876e-15,1.4711811347799107e-9,2.4405390137000537e-15,1.8737856288535523e-18,4.833942018550166e-14,1.6458970764728363e-10,-120.0
5.119253535726561e-18,5.640292303367595e-10,1.9710411505366606e-10,8.242830725933133e-10,5.223297184080687e-13,3.290527105061737e-22,7.053690439463407e-12,5.052003224397866e-14,9.302427661932098e-13,4.053556382077144e-9,3.366651368430579e-8,1.9647999646568252e-10,2.3129097180969657e-12,8.771369607015331e-12,1.2270080616955656e-12,1.0101237096703831e-10,1.6158734685020155e-18,4.974000298243337e-22,2.526647189151598e-12,1.0202549578658736e-13,2.2012629994953175e-35,4.479909500049312e-7,1.1702345929530727e-13,4.2564405244254774e-15,1.4901877770688388e-9,3.149533323250716e-15,1.72531747738417e-18,4.1830061128815406e-14,1.6452533770606996e-10,-105.0
4.70075053760746e-18,5.04891666687285e-10,1.9174717838055025e-10,8.450658582959718e-10,3.0741308351626517e-13,2.9437800547641996e-22,4.053057398684312e-12,4.334861901051283e-14,8.721583561731651e-13,4.05147549613823e-9,3.423486075850367e-8,1.844865736908447e-10,2.7385325299002154e-12,1.0718569874628055e-11,1.1722442061994576e-12,1.12018777437097e-10,1.6833479142512818e-18,4.087316072422637e-22,2.5971784187030346e-12,1.243616558965379e-13,6.16408043446159e-39,4.4946447985178856e-7,1.0811487680145967e-13,5.6719449077337686e-15,1.479577509076697e-9,3.822968062250003e-15,1.7279392746002654e-18,4.1075150666205166e-14,1.638715095333868e-10,-90.0
4.3623854041383055e-18,4.560901370571849e-10,1.981840113285513e-10,8.623151064609611e-10,1.743776443317563e-13,2.6587825605313e-22,2.3270748258217466e-12,4.152961413845724e-14,7.267564631164156e-13,4.051049925535115e-9,3.500879372247537e-8,1.7468262203230886e-10,3.112917393927816e-12,1.2547621491310245e-11,1.0170341544426975e-12,7.260455896760155e-11,1.0725389940657803e-18,2.9425308541773684e-22,2.6288382879574343e-12,1.473237383004953e-13,3.354317220152297e-46,4.493634187055e-7,8.601112378467654e-14,6.966813686632883e-15,1.4239673724382884e-9,4.450712318614507e-15,1.3475998902119424e-18,3.0219479108824197e-14,1.6348632310503697e-10,-75.0
3.9907810621438325e-18,4.010485711469042e-10,2.0042775263022164e-10,8.940965360092575e-10,1.0245961492197582e-13,2.3364209296798933e-22,1.3528406133338987e-12,3.71990388197539e-14,5.508572602827384e-13,4.0500627229838254e-9,3.6362216771195514e-8,1.671452319503443e-10,3.4784720457632453e-12,1.430459592434185e-11,7.590190266627542e-13,9.98087013379167e-11,1.023150758904362e-18,1.7767532099692328e-22,2.650868215952637e-12,1.6002498792478992e-13,7.164520233211485e-51,4.502133446238681e-7,7.053337410021419e-14,8.033243355987197e-15,1.4442580948661055e-9,5.050139685033271e-15,1.4941159078284294e-18,2.660616055939758e-14,1.640414367115772e-10,-60.0
2.9572904252979427e-18,2.5369640605603737e-10,2.0622263675175413e-10,9.317151182618271e-10,5.948937879118797e-14,1.4732352708237142e-22,7.850840825937901e-13,2.858338816313781e-14,4.700145503613287e-13,4.053340292115618e-9,3.744483411033611e-8,1.608901537107878e-10,3.807597663408753e-12,1.594523369713674e-11,6.844846317467006e-13,1.3090298076380968e-10,1.1808673788638701e-18,1.9812094930191646e-22,2.6668268500073853e-12,1.7670244783071328e-13,1.5107443556575554e-56,4.5020626520389376e-7,5.889775263462601e-14,8.893313617744376e-15,1.4785900648103237e-9,5.5941240436206526e-15,1.227520378445626e-18,2.676036994962044e-14,1.642913242646053e-10,-45.0
